Body 250: x = ******, y = ******, z = ******, Fx =  0.001, Fy = -0.002, Fz =  0.001
Body 251: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.000, Fz = -0.001
Body 252: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.002, Fz = -0.002
Body 253: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.001, Fz =  0.001
Body 254: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.001, Fz =  0.003
Body 255: x = ******, y = ******, z = ******, Fx =  0.002, Fy = -0.000, Fz =  0.003
Body 256: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.003, Fz =  0.002
Body 257: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.003, Fz = -0.001
Body 258: x = ******, y = ******, z = ******, Fx = -0.002, Fy = -0.000, Fz =  0.001
Body 259: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.000, Fz =  0.001
Body 260: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.003, Fz =  0.001
Body 261: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.001, Fz = -0.001
Body 262: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.002, Fz = -0.002
Body 263: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.002, Fz =  0.001
Body 264: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.000, Fz =  0.003
Body 265: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.002, Fz =  0.000
Body 266: x = ******, y = ******, z = ******, Fx =  0.002, Fy = -0.001, Fz = -0.003
Body 267: x = ******, y = ******, z = ******, Fx = -0.002, Fy = -0.001, Fz = -0.003
Body 268: x = ******, y = 76.066, z = ******, Fx =  0.001, Fy = -0.000, Fz = -0.002
Body 269: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.003, Fz = -0.000
Body 270: x = ******, y = ******, z = ******, Fx = -0.002, Fy = -0.002, Fz = -0.001
Body 271: x = ******, y = ******, z = ******, Fx =  0.002, Fy = -0.000, Fz = -0.001
Body 272: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.001, Fz = -0.000
Body 273: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.003, Fz = -0.000
Body 274: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.001, Fz = -0.004
Body 275: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.000, Fz = -0.003
Body 276: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.002, Fz =  0.003
Body 277: x = ******, y = ******, z = ******, Fx =  0.001, Fy = -0.003, Fz = -0.001
Body 278: x = ******, y = ******, z = ******, Fx =  0.001, Fy = -0.003, Fz = -0.000
Body 279: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.001, Fz = -0.002
Body 280: x = 82.726, y = ******, z = ******, Fx =  0.000, Fy = -0.000, Fz = -0.003
Body 281: x = ******, y = 56.133, z = ******, Fx = -0.001, Fy = -0.000, Fz = -0.001
Body 282: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.001, Fz = -0.003
Body 283: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.003, Fz =  0.001
Body 284: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.001, Fz =  0.001
Body 285: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.001, Fz = -0.000
Body 286: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.000, Fz =  0.000
Body 287: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.000, Fz = -0.000
Body 288: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.001, Fz =  0.001
Body 289: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.002, Fz =  0.001
Body 290: x = ******, y = ******, z = ******, Fx =  0.003, Fy =  0.001, Fz =  0.001
Body 291: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.002, Fz =  0.001
Body 292: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.000, Fz =  0.000
